candidate_id,strategy,case_id,scenario_weight,full_project_capex_cny,common_infrastructure_annual_cost_cny,flexible_asset_annual_cost_cny,electrolyzer_stack_replacement_cny,annual_operating_margin_cny,gross_revenue_cny,full_project_net_annual_value_cny,renewable_generation_mwh,renewable_utilization_rate,curtailment_mwh,export_land_mwh,spot_compute_service_mwh_it,spot_compute_service_rate,hydrogen_sales_kg,hydrogen_demand_service_rate,eens_mwh,max_offshore_balance_residual_mw,max_land_balance_residual_mw,battery_power_mw,battery_energy_mwh,electrolyzer_power_mw,hydrogen_storage_kg,fuel_cell_power_mw,compute_it_capacity_mw,hydrogen_export_capacity_kg_per_h,compute_price_cny_per_mwh_it,hydrogen_price_cny_per_kg
direct,direct_existing,contract_c2000_h20,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2000,20
direct,direct_existing,contract_c2250_h20,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2250,20
direct,direct_existing,contract_c2500_h20,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2500,20
direct,direct_existing,contract_c1000_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1000,25
direct,direct_existing,contract_c1250_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1250,25
direct,direct_existing,contract_c1500_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1500,25
direct,direct_existing,contract_c1750_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1750,25
direct,direct_existing,contract_c2000_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2000,25
direct,direct_existing,contract_c2250_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2250,25
direct,direct_existing,contract_c2500_h25,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2500,25
direct,direct_existing,contract_c1000_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1000,30
direct,direct_existing,contract_c1250_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1250,30
direct,direct_existing,contract_c1500_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1500,30
direct,direct_existing,contract_c1750_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1750,30
direct,direct_existing,contract_c2000_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2000,30
direct,direct_existing,contract_c2250_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2250,30
direct,direct_existing,contract_c2500_h30,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2500,30
direct,direct_existing,contract_c1000_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1000,35
direct,direct_existing,contract_c1250_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1250,35
direct,direct_existing,contract_c1500_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1500,35
direct,direct_existing,contract_c1750_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,1750,35
direct,direct_existing,contract_c2000_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2000,35
direct,direct_existing,contract_c2250_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2250,35
direct,direct_existing,contract_c2500_h35,1,2.7442e+10,2995183177,0,0,932821015,947040937,-2062362162,3300000,0.8883589123,368415.5895,2717326.847,0,0,0,0,0,0,2.842170943e-14,0,0,0,0,0,0,0,2500,35
diversified_hedge,diversified_hedge,contract_c1000_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,1780790619,1871022560,-2952145618,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1000,20
diversified_hedge,diversified_hedge,contract_c1250_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,2074655678,2164887619,-2658280559,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1250,20
diversified_hedge,diversified_hedge,contract_c1500_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,2368520737,2458752678,-2364415500,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1500,20
diversified_hedge,diversified_hedge,contract_c1750_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,2662385795,2752617736,-2070550442,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1750,20
diversified_hedge,diversified_hedge,contract_c2000_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,2956250854,3046482795,-1776685383,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2000,20
diversified_hedge,diversified_hedge,contract_c2250_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,3250115913,3340347854,-1482820324,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2250,20
diversified_hedge,diversified_hedge,contract_c2500_h20,1,4.04557649e+10,3103409895,1629526342,18032729.7,3543980972,3634212913,-1188955265,3300000,1,0,842308.6331,1175460.235,0.9128228459,17106146.75,0.1627297065,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2500,20
diversified_hedge,diversified_hedge,contract_c1000_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,1885684574,2003476917,-2847251663,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1000,25
diversified_hedge,diversified_hedge,contract_c1250_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,2179549633,2297341976,-2553386604,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1250,25
diversified_hedge,diversified_hedge,contract_c1500_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,2473414692,2591207035,-2259521545,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1500,25
diversified_hedge,diversified_hedge,contract_c1750_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,2767279751,2885072094,-1965656487,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,1750,25
diversified_hedge,diversified_hedge,contract_c2000_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,3061144809,3178937152,-1671791428,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2000,25
diversified_hedge,diversified_hedge,contract_c2250_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,3355009868,3472802211,-1377926369,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2250,25
diversified_hedge,diversified_hedge,contract_c2500_h25,1,4.04557649e+10,3103409895,1629526342,26688119.12,3648874927,3766667270,-1084061310,3300000,1,0,389901.4079,1175460.235,0.9128228459,25316792.84,0.2408370704,0,5.684341886e-14,2.842170943e-14,0,0,308.7479476,36089.98728,0,136.5,4025.552976,2500,25
