candidate_id,strategy,battery_power_mw,battery_energy_mwh,electrolyzer_power_mw,hydrogen_storage_kg,fuel_cell_power_mw,compute_it_capacity_mw,hydrogen_export_capacity_kg_per_h,full_project_capex_cny,expected_full_net_value_cny_per_year,lower_tail_full_net_value_cny_per_year,worst_case_full_net_value_cny_per_year,best_case_full_net_value_cny_per_year,risk_adjusted_score_cny_per_year,positive_net_value_probability,expected_scenario_regret_cny,maximum_scenario_regret_cny,expected_renewable_utilization_rate,expected_curtailment_mwh,expected_eens_mwh,minimum_compute_service_rate
integrated_contract,integrated_contract,0,0,152.9901622,26467.23137,0,136.5,1877.120574,3.895245036e+10,-1659818098,-2632178862,-2923059050,-740187804.4,-2000144366,0,150968703.1,891458983,0.9975958909,7943.54272,0,0.5415993376
compute_led,compute_led,0,0,0,0,0,136.5,0,3.75420455e+10,-1684201685,-2680553976,-2988160859,-817648792.7,-2032924987,0,175352290.1,956560792,0.9693789248,101270.9853,0,0.5415993376
diversified_hedge,diversified_hedge,0,0,308.7479476,36089.98728,0,136.5,4025.552976,4.04557649e+10,-1714982913,-2656635245,-2923570561,-742595309.3,-2044561229,0,206133517.7,891970494,0.9999942229,19.06429962,0,0.5415993376
direct,direct_existing,0,0,0,0,0,0,0,2.7442e+10,-2061111657,-2230655889,-2267810261,-1787631416,-2120452138,0,552262262,1047443612,0.8734728748,416623.7161,0,0
hydrogen_led,hydrogen_led,0,0,308.7479476,36089.98728,0,0,4025.552976,3.13557194e+10,-2052109925,-2305562153,-2351840577,-1669495254,-2140818205,0,543260529.9,929307449.6,0.99836487,5406.305435,0,0
