candidate_id,phase,design_id,strategy,scenario_id,flexible_cost_case_id,infrastructure_cost_case_id,wind_capacity_mw,pv_capacity_mw,wave_capacity_mw,tx_capacity_mw,landing_grid_limit_mw,battery_power_mw,battery_energy_mwh,electrolyzer_power_mw,hydrogen_storage_kg,fuel_cell_power_mw,compute_it_capacity_mw,subsea_fiber_service_capacity_mw_it,hydrogen_export_capacity_kg_per_h,renewable_generation_mwh,renewable_utilization_rate,curtailment_mwh,export_land_mwh,electrolyzer_energy_mwh,hydrogen_sales_kg,dc_facility_energy_mwh,spot_compute_service_mwh_it,constrained_grid_hours,electricity_capture_price_cny_per_mwh_land,common_infrastructure_capex_cny,flexible_asset_capex_cny,full_project_capex_cny,common_infrastructure_annual_cost_cny,flexible_asset_annual_cost_cny,gross_revenue_cny_per_year,annual_cash_cost_cny_per_year,full_project_net_annual_value_cny,full_cost_recovery_ratio,additional_revenue_required_cny_per_generated_mwh,electricity_export_share_of_generation,compute_power_share_of_generation,hydrogen_power_share_of_generation,curtailment_share_of_generation,max_offshore_balance_residual_mw,max_land_balance_residual_mw
compute_led,S7,s8_compute_led,compute_led,s8_plan_compute_led,china_reference,china_reference,1000,0,0,700,450,-0,0,0,-0,0,136.5,136.5,0,3300000,0.9832896833,55144.0452,1731318.261,0,0,1351779.27,1175460.235,8760,324.8568965,2.8442e+10,9100045500,3.75420455e+10,3103409895,1300967657,2913351147,4436914140,-1523562993,0.6566165257,461.6857554,0.5471141468,0.4096300819,0,0.01671031673,2.842170943e-14,2.842170943e-14
hydrogen_led,S7,s8_hydrogen_led,hydrogen_led,s8_plan_hydrogen_led,china_reference,china_reference,1000,0,0,700,450,-0,0,308.7479476,36089.98728,0,0,0,4025.552976,3300000,0.999832275,553.4925458,1172855.263,1989360.727,34597577.86,0,0,8760,422.1910179,2.8442e+10,2913719402,3.13557194e+10,3103409895,328558685.1,1533096293,3564160349,-2031064056,0.4301423456,615.4739565,0.3704502366,0,0.6028365838,0.0001677250139,2.842170943e-14,2.842170943e-14
integrated_contract,S7,s8_integrated_contract,integrated_contract,s8_plan_integrated_contract,china_reference,china_reference,1000,0,0,700,450,-0,0,152.9901622,26467.23137,0,136.5,136.5,1877.120574,3300000,0.9998150479,610.3417875,916324.2705,907489.0193,15782417.73,1351779.27,1175460.235,8760,363.3270635,2.8442e+10,1.051045036e+10,3.895245036e+10,3103409895,1460670894,3157318409,4649866362,-1492547953,0.6790127206,452.2872586,0.2886428389,0.4096300819,0.2749966725,0.0001849520568,2.842170943e-14,2.842170943e-14
reliability_reserve,S7,s8_reliability_reserve,reliability_reserve,s8_plan_reliability_reserve,china_reference,china_reference,1000,0,0,700,450,-0,-0,18.7443759,1500000,38.83645526,0,0,0,3076661.918,0.9345810467,201272.0022,2276151.588,86250,0,0,0,8760,344.6798729,2.8442e+10,743785709.6,2.918578571e+10,3103409895,86453449.98,784543639.8,3218941448,-2434397808,0.2437272167,791.246446,0.773569592,0,0.0280336294,0.06541895325,3.552713679e-14,2.842170943e-14
