cost_case_id,discount_rate,battery_power_capex_cny_per_kw,battery_energy_capex_cny_per_kwh,battery_fixed_om_fraction,battery_lifetime_years,electrolyzer_capex_cny_per_kw,electrolyzer_fixed_om_fraction,electrolyzer_lifetime_years,electrolyzer_replacement_fraction,electrolyzer_replacement_interval_full_load_h,hydrogen_storage_capex_cny_per_kg,hydrogen_storage_fixed_om_fraction,hydrogen_storage_lifetime_years,fuel_cell_capex_cny_per_kw,fuel_cell_fixed_om_fraction,fuel_cell_lifetime_years,compute_fibre_capex_cny_per_kw_it,compute_fibre_fixed_om_fraction,compute_fibre_lifetime_years,source_basis,notes
cost_low,0.06,1179,764,0.020,15,10800,0.040,30,0.11,40000,50,0.010,30,6000,0.030,15,20000,0.030,15,NREL-2025-low-and-DOE-PEM-low-plus-engineering-scenarios,2035-low-battery-reference-and-low-project-screening-values
cost_reference,0.06,2678,1735,0.025,15,14400,0.050,30,0.11,40000,200,0.020,30,10000,0.040,15,60000,0.045,15,NREL-2025-2024-bottom-up-and-DOE-PEM-base-plus-engineering-scenarios,External-reference-screening-case-not-a-China-offshore-quotation
cost_high,0.08,3214,2082,0.030,15,18000,0.060,25,0.11,40000,600,0.030,25,15000,0.050,12,120000,0.060,12,External-high-benchmarks-with-offshore-screening-premium,Conservative-stress-case-pending-vendor-and-EPC-quotations
